t,AGFF,DGFF
-10.0,0.0007513148215030658,7.254682897810536e-06
-9.5,0.0008638376432619087,8.429002511842749e-06
-9.0,0.001000000060577199,9.871083647562827e-06
-8.5,0.0011663508557784655,1.1661807580174926e-05
-8.0,0.0013717421802757473,1.391323705373292e-05
-7.5,0.0016283331222325381,1.6783592360108757e-05
-7.0,0.0019531251776247534,2.0501045553323218e-05
-6.5,0.002370370575473103,2.540263171264543e-05
-6.0,0.0029154519725456034,3.199999999999999e-05
-5.5,0.0036413290538710947,4.1094764526999254e-05
-5.0,0.004629629599908984,5.398984990821725e-05
-4.5,0.006010518339762177,7.289692374981774e-05
-4.0,0.007999999899349046,0.00010177081213108079
-3.5,0.01097393678786008,0.00014814814814814815
-3.0,0.015624999909557591,0.00022758306781975424
-2.5,0.023323614924395067,0.0003756574004507889
-2.0,0.03703703699878223,0.0006858710562414266
-1.5,0.06400000005232061,0.0014577259475218656
-1.0,0.12500000000541753,0.003999999999999999
-0.5,0.29629629625721116,0.018518518518518514
0.0,0.9999999998250704,0.5
