E,t,xsec
8.5,-3.7292664731006795,1.10629429255512
8.5,-3.48533403763987,2.395536712855297
8.5,-3.2414016021790597,1.4191978616370284
8.5,-2.99746916671825,2.9856729136457876
8.5,-2.75353673125744,2.8830000021480244
8.5,-2.5096042957966302,3.8552063179274114
8.5,-2.2656718603358206,12.013059516906388
8.5,-2.021739424875011,6.04286099310714
8.5,-1.7778069894142008,9.081810046971428
8.5,-1.5338745539533911,10.64971284354393
8.5,-1.2899421184925808,15.464112858337222
9.125,-5.386488984255002,0.2679932613993679
9.125,-5.133622685313042,0.35238339771859245
9.125,-4.880756386371081,0.4591888962566426
9.125,-4.627890087429121,0.6410861799614921
9.125,-4.375023788487161,0.6408856808288163
9.125,-4.1221574895452004,1.1170675598219963
9.125,-3.86929119060324,2.3009831946146644
9.125,-3.6164248916612793,1.3238306417662127
9.125,-3.3635585927193192,1.9732927807767224
9.125,-3.110692293777359,2.9250211553459184
9.125,-2.8578259948353986,3.0341636413927895
9.125,-2.604959695893438,5.202627812497833
9.125,-2.352093396951478,5.7594020517793965
9.125,-2.099227098009518,13.643543334438995
9.125,-1.8463607990675572,9.440665361893464
9.125,-1.5934945001255967,12.300217270875345
9.125,-1.3406282011836366,16.102436218518864
9.125,-1.0877619022416765,21.191713868921507
9.125,-0.8348956032997163,31.498148647548707
9.75,-6.798935210885176,0.0937778295220247
9.75,-6.55181761725734,0.12257866356252513
9.75,-6.304700023629505,0.15779355803866082
9.75,-6.057582430001669,0.20157634693028695
9.75,-5.810464836373834,0.25573325110187084
9.75,-5.563347242745998,0.23584899722731711
9.75,-5.316229649118163,0.433663629862805
9.75,-5.069112055490327,0.465957381480054
9.75,-4.8219944618624915,0.8183487442378917
9.75,-4.5748768682346554,3.099225636428051
9.75,-4.327759274606819,0.8022609825935606
9.75,-4.080641680978984,1.1643554976581285
9.75,-3.8335240873511487,2.8339048571478034
9.75,-3.586406493723313,3.5446649139694144
9.75,-3.3392889000954775,3.1680923323712693
9.75,-3.092171306467642,3.16791414701831
9.75,-2.8450537128398063,4.474617306954097
9.75,-2.5979361192119708,4.900922170131451
9.75,-2.3508185255841347,6.217060660416161
9.75,-2.1037009319562996,7.916637232591869
9.75,-1.8565833383284636,10.123494844594411
9.75,-1.6094657447006284,18.83151835792486
9.75,-1.3623481510727924,19.035704664938997
9.75,-1.1152305574449572,94.62630878370935
9.75,-0.8681129638171212,68.04920078138834
9.75,-0.6209953701892861,37.483239153145284
10.375,-8.125830255101352,0.03872164327307803
10.375,-7.879501665217729,0.05046296076764697
10.375,-7.633173075334106,0.06477936591918468
10.375,-7.386844485450483,0.08221789302328225
10.375,-7.14051589556686,0.10344940564887005
10.375,-6.8941873056832375,0.1292984908411567
10.375,-6.647858715799615,0.16077995326379152
10.375,-6.4015301259159925,0.5735200384151286
10.375,-6.1552015360323695,0.3741961313982087
10.375,-5.908872946148747,0.2245303655097424
10.375,-5.662544356265124,0.30946148487198594
10.375,-5.416215766381502,0.7137436115120213
10.375,-5.169887176497879,0.9093095631096727
10.375,-4.923558586614256,0.7842623733485732
10.375,-4.677229996730633,0.9654731725160436
10.375,-4.43090140684701,1.70904999648482
10.375,-4.184572816963387,1.2965757927081476
10.375,-3.938244227079764,1.6647708187473134
10.375,-3.691915637196141,1.9608354550709357
10.375,-3.445587047312518,2.4575877833990476
10.375,-3.199258457428895,3.0573939815037194
10.375,-2.952929867545273,3.8151330210216408
10.375,-2.70660127766165,4.776717209278345
10.375,-2.460272687778027,24.012681911255683
10.375,-2.2139440978944043,8.008821231081628
10.375,-1.9676155080107813,15.792258056718454
10.375,-1.7212869181271584,12.227264839518243
10.375,-1.4749583282435355,22.776686703786538
10.375,-1.2286297383599134,24.379587018705855
10.375,-0.9823011484762905,57.967565395674775
10.375,-0.7359725585926675,52.7957190832006
10.375,-0.48964396870904503,82.02065656149948
11.0,-9.408668463495644,0.0177664868317159
11.0,-9.158423169762626,0.02324202835834281
11.0,-8.90817787602961,0.029860606571073187
11.0,-8.657932582296592,0.03784864477795569
11.0,-8.407687288563576,0.04748063092900932
11.0,-8.157441994830558,0.059075989906742454
11.0,-7.90719670109754,0.0730807639519849
11.0,-7.656951407364523,0.08994687652816365
11.0,-7.406706113631506,0.07682793739741875
11.0,-7.156460819898489,0.17820523089328924
11.0,-6.906215526165472,0.2665530029094283
11.0,-6.655970232432454,0.4129340796675379
11.0,-6.405724938699437,0.20688102881744858
11.0,-6.1554796449664195,3.204611094889876
11.0,-5.905234351233402,0.5226109956966776
11.0,-5.6549890575003845,0.4185391508089844
11.0,-5.404743763767367,0.5342028765025161
11.0,-5.15449847003435,1.1537368079939199
11.0,-4.904253176301333,0.7682211648640225
11.0,-4.654007882568315,1.0391983089937193
11.0,-4.403762588835298,1.1877667780299332
11.0,-4.153517295102281,1.4601845667710331
11.0,-3.9032720013692632,1.7961903565382868
11.0,-3.653026707636246,2.2155156597828687
11.0,-3.402781413903229,2.740936409361067
11.0,-3.152536120170212,3.4362408406477742
11.0,-2.902290826437195,15.10033518505427
11.0,-2.652045532704177,27.226555727358615
11.0,-2.40180023897116,7.325085289377195
11.0,-2.151554945238143,26.164707037245744
11.0,-1.9013096515051249,10.858654921072802
11.0,-1.6510643577721078,16.959653256675963
11.0,-1.4008190640390907,31.944032756725317
11.0,-1.1505737703060728,30.801479144439412
11.0,-0.9003284765730566,29.776722389426286
11.0,-0.6500831828400386,38.19633556737816
11.0,-0.39983788910702334,50.50876155637302
